
> backend@1.0.0 dev
> ts-node --transpile-only src/index.ts

[2026-03-06T23:40:27.597Z] GET /api/entries/59?periodo=2026
[2026-03-06T23:40:27.597Z] OPTIONS /api/entries/136?periodo=2026
[2026-03-06T23:40:27.597Z] OPTIONS /api/entries/137?periodo=2026
[2026-03-06T23:40:27.597Z] OPTIONS /api/entries/138?periodo=2026
[2026-03-06T23:40:27.598Z] GET /api/entries/60?periodo=2026
[2026-03-06T23:40:27.598Z] OPTIONS /api/entries/139?periodo=2026
[2026-03-06T23:40:27.598Z] GET /api/entries/61?periodo=2026
[2026-03-06T23:40:27.599Z] OPTIONS /api/entries/140?periodo=2026
[2026-03-06T23:40:27.599Z] OPTIONS /api/entries/141?periodo=2026
[2026-03-06T23:40:27.599Z] OPTIONS /api/entries/142?periodo=2026
[2026-03-06T23:40:27.600Z] OPTIONS /api/entries/143?periodo=2026
[2026-03-06T23:40:27.600Z] OPTIONS /api/entries/144?periodo=2026
[2026-03-06T23:40:27.600Z] GET /api/entries/62?periodo=2026
[2026-03-06T23:40:27.600Z] OPTIONS /api/entries/145?periodo=2026
[2026-03-06T23:40:27.600Z] GET /api/entries/65?periodo=2026
[2026-03-06T23:40:27.600Z] OPTIONS /api/entries/147?periodo=2026
[2026-03-06T23:40:27.601Z] GET /api/entries/63?periodo=2026
[2026-03-06T23:40:27.601Z] OPTIONS /api/entries/146?periodo=2026
[2026-03-06T23:40:27.601Z] OPTIONS /api/entries/149?periodo=2026
[2026-03-06T23:40:27.601Z] OPTIONS /api/entries/148?periodo=2026
[2026-03-06T23:40:27.601Z] OPTIONS /api/entries/151?periodo=2026
[2026-03-06T23:40:27.601Z] OPTIONS /api/entries/152?periodo=2026
[2026-03-06T23:40:27.601Z] OPTIONS /api/entries/150?periodo=2026
[2026-03-06T23:40:27.601Z] OPTIONS /api/entries/153?periodo=2026
[2026-03-06T23:40:27.602Z] OPTIONS /api/entries/154?periodo=2026
[2026-03-06T23:40:27.602Z] OPTIONS /api/entries/156?periodo=2026
[2026-03-06T23:40:27.602Z] GET /api/entries/66?periodo=2026
[2026-03-06T23:40:27.602Z] OPTIONS /api/entries/155?periodo=2026
[2026-03-06T23:40:27.602Z] OPTIONS /api/entries/158?periodo=2026
[2026-03-06T23:40:27.602Z] OPTIONS /api/entries/159?periodo=2026
[2026-03-06T23:40:27.602Z] GET /api/entries/69?periodo=2026
[2026-03-06T23:40:27.603Z] GET /api/entries/67?periodo=2026
[2026-03-06T23:40:27.603Z] OPTIONS /api/entries/161?periodo=2026
[2026-03-06T23:40:27.604Z] OPTIONS /api/entries/160?periodo=2026
[2026-03-06T23:40:27.604Z] OPTIONS /api/entries/162?periodo=2026
[2026-03-06T23:40:27.604Z] OPTIONS /api/entries/163?periodo=2026
[2026-03-06T23:40:27.604Z] OPTIONS /api/entries/164?periodo=2026
[2026-03-06T23:40:27.604Z] OPTIONS /api/entries/166?periodo=2026
[2026-03-06T23:40:27.604Z] GET /api/entries/70?periodo=2026
[2026-03-06T23:40:27.604Z] OPTIONS /api/entries/167?periodo=2026
[2026-03-06T23:40:27.605Z] OPTIONS /api/entries/168?periodo=2026
[2026-03-06T23:40:27.605Z] OPTIONS /api/entries/169?periodo=2026
[2026-03-06T23:40:27.605Z] OPTIONS /api/entries/170?periodo=2026
[2026-03-06T23:40:27.605Z] GET /api/entries/71?periodo=2026
[2026-03-06T23:40:27.605Z] OPTIONS /api/entries/171?periodo=2026
[2026-03-06T23:40:27.605Z] OPTIONS /api/entries/172?periodo=2026
[2026-03-06T23:40:27.606Z] OPTIONS /api/entries/175?periodo=2026
[2026-03-06T23:40:27.606Z] OPTIONS /api/entries/173?periodo=2026
[2026-03-06T23:40:27.606Z] OPTIONS /api/entries/174?periodo=2026
[2026-03-06T23:40:27.606Z] OPTIONS /api/entries/177?periodo=2026
[2026-03-06T23:40:27.606Z] OPTIONS /api/entries/178?periodo=2026
[2026-03-06T23:40:27.606Z] OPTIONS /api/entries/176?periodo=2026
[2026-03-06T23:40:27.606Z] OPTIONS /api/entries/180?periodo=2026
[2026-03-06T23:40:27.606Z] OPTIONS /api/entries/179?periodo=2026
[2026-03-06T23:40:27.606Z] OPTIONS /api/entries/181?periodo=2026
[2026-03-06T23:40:27.606Z] OPTIONS /api/entries/182?periodo=2026
[2026-03-06T23:40:27.607Z] GET /api/entries/72?periodo=2026
[2026-03-06T23:40:27.608Z] GET /api/entries/73?periodo=2026
[2026-03-06T23:40:27.609Z] OPTIONS /api/entries/183?periodo=2026
[2026-03-06T23:40:27.609Z] OPTIONS /api/entries/184?periodo=2026
[2026-03-06T23:40:27.609Z] OPTIONS /api/entries/185?periodo=2026
[2026-03-06T23:40:27.610Z] OPTIONS /api/entries/186?periodo=2026
[2026-03-06T23:40:27.610Z] GET /api/entries/75?periodo=2026
[2026-03-06T23:40:27.611Z] OPTIONS /api/entries/187?periodo=2026
[2026-03-06T23:40:27.611Z] GET /api/entries/74?periodo=2026
[2026-03-06T23:40:27.612Z] OPTIONS /api/entries/189?periodo=2026
[2026-03-06T23:40:27.612Z] OPTIONS /api/entries/188?periodo=2026
[2026-03-06T23:40:27.612Z] GET /api/entries/76?periodo=2026
[2026-03-06T23:40:27.612Z] OPTIONS /api/entries/190?periodo=2026
[2026-03-06T23:40:27.613Z] OPTIONS /api/entries/191?periodo=2026
[2026-03-06T23:40:27.613Z] GET /api/entries/77?periodo=2026
[2026-03-06T23:40:27.613Z] GET /api/entries/78?periodo=2026
[2026-03-06T23:40:27.614Z] OPTIONS /api/entries/192?periodo=2026
[2026-03-06T23:40:27.614Z] GET /api/entries/79?periodo=2026
[2026-03-06T23:40:27.615Z] OPTIONS /api/entries/193?periodo=2026
[2026-03-06T23:40:27.615Z] OPTIONS /api/entries/194?periodo=2026
[2026-03-06T23:40:27.615Z] GET /api/entries/81?periodo=2026
[2026-03-06T23:40:27.615Z] OPTIONS /api/entries/195?periodo=2026
[2026-03-06T23:40:27.616Z] GET /api/entries/82?periodo=2026
[2026-03-06T23:40:27.616Z] OPTIONS /api/entries/196?periodo=2026
[2026-03-06T23:40:27.616Z] OPTIONS /api/entries/197?periodo=2026
[2026-03-06T23:40:27.616Z] GET /api/entries/83?periodo=2026
[2026-03-06T23:40:27.616Z] OPTIONS /api/entries/198?periodo=2026
[2026-03-06T23:40:27.617Z] GET /api/entries/84?periodo=2026
[2026-03-06T23:40:27.617Z] OPTIONS /api/entries/199?periodo=2026
[2026-03-06T23:40:27.618Z] OPTIONS /api/entries/200?periodo=2026
[2026-03-06T23:40:27.618Z] OPTIONS /api/entries/201?periodo=2026
[2026-03-06T23:40:27.618Z] GET /api/entries/85?periodo=2026
[2026-03-06T23:40:27.618Z] OPTIONS /api/entries/203?periodo=2026
[2026-03-06T23:40:27.618Z] OPTIONS /api/entries/202?periodo=2026
[2026-03-06T23:40:27.619Z] OPTIONS /api/entries/204?periodo=2026
[2026-03-06T23:40:27.619Z] OPTIONS /api/entries/205?periodo=2026
[2026-03-06T23:40:27.619Z] OPTIONS /api/entries/206?periodo=2026
[2026-03-06T23:40:27.619Z] OPTIONS /api/entries/207?periodo=2026
[2026-03-06T23:40:27.619Z] GET /api/entries/86?periodo=2026
[2026-03-06T23:40:27.619Z] GET /api/entries/87?periodo=2026
[2026-03-06T23:40:27.620Z] OPTIONS /api/entries/208?periodo=2026
[2026-03-06T23:40:27.620Z] OPTIONS /api/entries/209?periodo=2026
[2026-03-06T23:40:27.621Z] OPTIONS /api/entries/210?periodo=2026
[2026-03-06T23:40:27.621Z] OPTIONS /api/entries/211?periodo=2026
[2026-03-06T23:40:27.621Z] OPTIONS /api/entries/212?periodo=2026
[2026-03-06T23:40:27.621Z] OPTIONS /api/entries/213?periodo=2026
[2026-03-06T23:40:27.621Z] GET /api/entries/89?periodo=2026
[2026-03-06T23:40:27.621Z] GET /api/entries/91?periodo=2026
[2026-03-06T23:40:27.622Z] OPTIONS /api/entries/214?periodo=2026
[2026-03-06T23:40:27.622Z] OPTIONS /api/entries/215?periodo=2026
[2026-03-06T23:40:27.622Z] OPTIONS /api/entries/216?periodo=2026
[2026-03-06T23:40:27.622Z] GET /api/entries/92?periodo=2026
[2026-03-06T23:40:27.623Z] OPTIONS /api/entries/218?periodo=2026
[2026-03-06T23:40:27.623Z] OPTIONS /api/entries/217?periodo=2026
[2026-03-06T23:40:27.623Z] GET /api/entries/96?periodo=2026
[2026-03-06T23:40:27.623Z] OPTIONS /api/entries/219?periodo=2026
[2026-03-06T23:40:27.623Z] OPTIONS /api/entries/220?periodo=2026
[2026-03-06T23:40:27.623Z] OPTIONS /api/entries/221?periodo=2026
[2026-03-06T23:40:27.623Z] OPTIONS /api/entries/222?periodo=2026
[2026-03-06T23:40:27.624Z] OPTIONS /api/entries/223?periodo=2026
[2026-03-06T23:40:27.624Z] GET /api/entries/93?periodo=2026
[2026-03-06T23:40:27.624Z] GET /api/entries/95?periodo=2026
[2026-03-06T23:40:27.624Z] OPTIONS /api/entries/224?periodo=2026
[2026-03-06T23:40:27.624Z] OPTIONS /api/entries/225?periodo=2026
[2026-03-06T23:40:27.624Z] OPTIONS /api/entries/226?periodo=2026
[2026-03-06T23:40:27.625Z] OPTIONS /api/entries/228?periodo=2026
[2026-03-06T23:40:27.625Z] GET /api/entries/97?periodo=2026
[2026-03-06T23:40:27.626Z] GET /api/entries/98?periodo=2026
